Inventory_ID,Snapshot_Date,Product_ID,Warehouse,Stock_Level,Reorder_Level,Stock_Value_SAR,Stock_Status,Year,Month
INV0000082,1/31/2019 0:00,PRD017,Jeddah West,216,72,2976.48,Normal,2019,1
INV0000083,1/31/2019 0:00,PRD017,Dammam East,307,83,4230.46,Normal,2019,1
INV0000084,1/31/2019 0:00,PRD017,Qassim North,196,65,2700.88,Normal,2019,1
INV0000085,1/31/2019 0:00,PRD017,Abha South,270,78,3720.6,Normal,2019,1
INV0000086,1/31/2019 0:00,PRD018,Riyadh Central,483,123,8056.44,Normal,2019,1
INV0000087,1/31/2019 0:00,PRD018,Jeddah West,175,55,2919,Normal,2019,1
INV0000088,1/31/2019 0:00,PRD018,Dammam East,371,129,6188.28,Normal,2019,1
INV0000089,1/31/2019 0:00,PRD018,Qassim North,189,57,3152.52,Normal,2019,1
INV0000090,1/31/2019 0:00,PRD018,Abha South,441,130,7355.88,Normal,2019,1
INV0000091,1/31/2019 0:00,PRD019,Riyadh Central,484,126,3997.84,Normal,2019,1
INV0000092,1/31/2019 0:00,PRD019,Jeddah West,56,18,462.56,Normal,2019,1
INV0000093,1/31/2019 0:00,PRD019,Dammam East,221,63,1825.46,Normal,2019,1
INV0000094,1/31/2019 0:00,PRD019,Qassim North,181,55,1495.06,Normal,2019,1
INV0000095,1/31/2019 0:00,PRD019,Abha South,60,15,495.6,Normal,2019,1
INV0000096,1/31/2019 0:00,PRD020,Riyadh Central,166,59,715.46,Normal,2019,1
INV0000097,1/31/2019 0:00,PRD020,Jeddah West,468,127,2017.08,Normal,2019,1
INV0000098,1/31/2019 0:00,PRD020,Dammam East,166,56,715.46,Normal,2019,1
INV0000099,1/31/2019 0:00,PRD020,Qassim North,91,25,392.21,Normal,2019,1
INV0000100,1/31/2019 0:00,PRD020,Abha South,165,54,711.15,Normal,2019,1
INV0000101,1/31/2019 0:00,PRD021,Riyadh Central,387,142,1470.6,Normal,2019,1
INV0000102,1/31/2019 0:00,PRD021,Jeddah West,169,57,642.2,Normal,2019,1
INV0000103,1/31/2019 0:00,PRD021,Dammam East,268,79,1018.4,Normal,2019,1
INV0000104,1/31/2019 0:00,PRD021,Qassim North,533,141,2025.4,Normal,2019,1
INV0000105,1/31/2019 0:00,PRD021,Abha South,165,45,627,Normal,2019,1
INV0000106,1/31/2019 0:00,PRD022,Riyadh Central,98,27,757.54,Normal,2019,1
INV0000107,1/31/2019 0:00,PRD022,Jeddah West,155,47,1198.15,Normal,2019,1
INV0000108,1/31/2019 0:00,PRD022,Dammam East,369,113,2852.37,Normal,2019,1
INV0000109,1/31/2019 0:00,PRD022,Qassim North,134,34,1035.82,Normal,2019,1
INV0000110,1/31/2019 0:00,PRD022,Abha South,307,114,2373.11,Normal,2019,1
INV0000111,1/31/2019 0:00,PRD023,Riyadh Central,541,138,5263.93,Normal,2019,1
INV0000112,1/31/2019 0:00,PRD023,Jeddah West,345,116,3356.85,Normal,2019,1
INV0000113,1/31/2019 0:00,PRD023,Dammam East,532,145,5176.36,Normal,2019,1
INV0000114,1/31/2019 0:00,PRD023,Qassim North,245,69,2383.85,Normal,2019,1
INV0000115,1/31/2019 0:00,PRD023,Abha South,269,92,2617.37,Normal,2019,1
INV0000116,1/31/2019 0:00,PRD024,Riyadh Central,144,45,1442.88,Normal,2019,1
INV0000117,1/31/2019 0:00,PRD024,Jeddah West,353,95,3537.06,Normal,2019,1
INV0000118,1/31/2019 0:00,PRD024,Dammam East,377,106,3777.54,Normal,2019,1
INV0000119,1/31/2019 0:00,PRD024,Qassim North,343,108,3436.86,Normal,2019,1
INV0000120,1/31/2019 0:00,PRD024,Abha South,419,108,4198.38,Normal,2019,1
INV0000121,1/31/2019 0:00,PRD025,Riyadh Central,199,70,2025.82,Normal,2019,1
INV0000122,1/31/2019 0:00,PRD025,Jeddah West,384,133,3909.12,Normal,2019,1
INV0000123,1/31/2019 0:00,PRD025,Dammam East,120,40,1221.6,Normal,2019,1
INV0000124,1/31/2019 0:00,PRD025,Qassim North,192,64,1954.56,Normal,2019,1
INV0000125,1/31/2019 0:00,PRD025,Abha South,124,39,1262.32,Normal,2019,1
INV0000126,1/31/2019 0:00,PRD026,Riyadh Central,107,34,994.03,Normal,2019,1
INV0000127,1/31/2019 0:00,PRD026,Jeddah West,299,78,2777.71,Normal,2019,1
INV0000128,1/31/2019 0:00,PRD026,Dammam East,101,34,938.29,Normal,2019,1
INV0000129,1/31/2019 0:00,PRD026,Qassim North,79,29,733.91,Normal,2019,1
INV0000130,1/31/2019 0:00,PRD026,Abha South,498,138,4626.42,Normal,2019,1
INV0000131,1/31/2019 0:00,PRD027,Riyadh Central,410,147,7195.5,Normal,2019,1
INV0000132,1/31/2019 0:00,PRD027,Jeddah West,320,80,5616,Normal,2019,1
INV0000133,1/31/2019 0:00,PRD027,Dammam East,263,69,4615.65,Normal,2019,1
INV0000134,1/31/2019 0:00,PRD027,Qassim North,253,93,4440.15,Normal,2019,1
INV0000135,1/31/2019 0:00,PRD027,Abha South,228,65,4001.4,Normal,2019,1
INV0000136,1/31/2019 0:00,PRD028,Riyadh Central,162,42,2332.8,Normal,2019,1
INV0000137,1/31/2019 0:00,PRD028,Jeddah West,146,38,2102.4,Normal,2019,1
INV0000138,1/31/2019 0:00,PRD028,Dammam East,244,69,3513.6,Normal,2019,1
INV0000139,1/31/2019 0:00,PRD028,Qassim North,244,90,3513.6,Normal,2019,1
INV0000140,1/31/2019 0:00,PRD028,Abha South,339,92,4881.6,Normal,2019,1
INV0000141,1/31/2019 0:00,PRD029,Riyadh Central,316,100,3675.08,Normal,2019,1
INV0000142,1/31/2019 0:00,PRD029,Jeddah West,420,119,4884.6,Normal,2019,1
INV0000143,1/31/2019 0:00,PRD029,Dammam East,234,72,2721.42,Normal,2019,1
INV0000144,1/31/2019 0:00,PRD029,Qassim North,425,116,4942.75,Normal,2019,1
INV0000145,1/31/2019 0:00,PRD029,Abha South,437,138,5082.31,Normal,2019,1
INV0000146,1/31/2019 0:00,PRD030,Riyadh Central,369,104,3047.94,Normal,2019,1
INV0000147,1/31/2019 0:00,PRD030,Jeddah West,265,93,2188.9,Normal,2019,1
INV0000148,1/31/2019 0:00,PRD030,Dammam East,469,122,3873.94,Normal,2019,1
INV0000149,1/31/2019 0:00,PRD030,Qassim North,431,120,3560.06,Normal,2019,1
INV0000150,1/31/2019 0:00,PRD030,Abha South,304,78,2511.04,Normal,2019,1
INV0000151,1/31/2019 0:00,PRD031,Riyadh Central,395,134,4439.8,Normal,2019,1
INV0000152,1/31/2019 0:00,PRD031,Jeddah West,237,82,2663.88,Normal,2019,1
INV0000153,1/31/2019 0:00,PRD031,Dammam East,64,16,719.36,Normal,2019,1
INV0000154,1/31/2019 0:00,PRD031,Qassim North,395,102,4439.8,Normal,2019,1
INV0000155,1/31/2019 0:00,PRD031,Abha South,136,39,1528.64,Normal,2019,1
INV0000156,1/31/2019 0:00,PRD032,Riyadh Central,293,104,3621.48,Normal,2019,1
INV0000157,1/31/2019 0:00,PRD032,Jeddah West,454,146,5611.44,Normal,2019,1
INV0000158,1/31/2019 0:00,PRD032,Dammam East,171,43,2113.56,Normal,2019,1
INV0000159,1/31/2019 0:00,PRD032,Qassim North,330,97,4078.8,Normal,2019,1
INV0000160,1/31/2019 0:00,PRD032,Abha South,447,141,5524.92,Normal,2019,1
INV0000161,1/31/2019 0:00,PRD033,Riyadh Central,179,56,2787.03,Normal,2019,1
INV0000162,1/31/2019 0:00,PRD033,Jeddah West,74,19,1152.18,Normal,2019,1
INV0000163,1/31/2019 0:00,PRD033,Dammam East,176,60,2740.32,Normal,2019,1
INV0000164,1/31/2019 0:00,PRD033,Qassim North,312,91,4857.84,Normal,2019,1
INV0000165,1/31/2019 0:00,PRD033,Abha South,290,74,4515.3,Normal,2019,1
INV0000166,2/28/2019 0:00,PRD001,Riyadh Central,335,108,2425.4,Normal,2019,2
INV0000167,2/28/2019 0:00,PRD001,Jeddah West,175,55,1267,Normal,2019,2
INV0000168,2/28/2019 0:00,PRD001,Dammam East,119,30,861.56,Normal,2019,2
INV0000169,2/28/2019 0:00,PRD001,Qassim North,132,33,955.68,Normal,2019,2
INV0000170,2/28/2019 0:00,PRD001,Abha South,239,78,1730.36,Normal,2019,2
INV0000171,2/28/2019 0:00,PRD002,Riyadh Central,42,15,205.38,Normal,2019,2
INV0000172,2/28/2019 0:00,PRD002,Jeddah West,375,138,1833.75,Normal,2019,2
INV0000173,2/28/2019 0:00,PRD002,Dammam East,192,49,938.88,Normal,2019,2
INV0000174,2/28/2019 0:00,PRD002,Qassim North,195,64,953.55,Normal,2019,2
INV0000175,2/28/2019 0:00,PRD002,Abha South,437,133,2136.93,Normal,2019,2
INV0000176,2/28/2019 0:00,PRD003,Riyadh Central,220,68,1133,Normal,2019,2
INV0000177,2/28/2019 0:00,PRD003,Jeddah West,177,65,911.55,Normal,2019,2
INV0000178,2/28/2019 0:00,PRD003,Dammam East,76,22,391.4,Normal,2019,2
INV0000179,2/28/2019 0:00,PRD003,Qassim North,125,33,643.75,Normal,2019,2
INV0000180,2/28/2019 0:00,PRD003,Abha South,324,119,1668.6,Normal,2019,2
INV0000181,2/28/2019 0:00,PRD004,Riyadh Central,442,127,6652.1,Normal,2019,2
INV0000182,2/28/2019 0:00,PRD004,Jeddah West,197,71,2964.85,Normal,2019,2
INV0000183,2/28/2019 0:00,PRD004,Dammam East,288,91,4334.4,Normal,2019,2
INV0000184,2/28/2019 0:00,PRD004,Qassim North,313,105,4710.65,Normal,2019,2
INV0000185,2/28/2019 0:00,PRD004,Abha South,287,100,4319.35,Normal,2019,2
INV0000186,2/28/2019 0:00,PRD005,Riyadh Central,336,110,840,Normal,2019,2
INV0000187,2/28/2019 0:00,PRD005,Jeddah West,129,39,322.5,Normal,2019,2
INV0000188,2/28/2019 0:00,PRD005,Dammam East,392,136,980,Normal,2019,2
INV0000189,2/28/2019 0:00,PRD005,Qassim North,444,113,1110,Normal,2019,2
INV0000190,2/28/2019 0:00,PRD005,Abha South,295,102,737.5,Normal,2019,2
INV0000191,2/28/2019 0:00,PRD006,Riyadh Central,392,111,4625.6,Normal,2019,2
INV0000192,2/28/2019 0:00,PRD006,Jeddah West,159,42,1876.2,Normal,2019,2
INV0000193,2/28/2019 0:00,PRD006,Dammam East,98,33,1156.4,Normal,2019,2
INV0000194,2/28/2019 0:00,PRD006,Qassim North,94,27,1109.2,Normal,2019,2
INV0000195,2/28/2019 0:00,PRD006,Abha South,187,68,2206.6,Normal,2019,2
INV0000196,2/28/2019 0:00,PRD007,Riyadh Central,79,24,235.42,Normal,2019,2
INV0000197,2/28/2019 0:00,PRD007,Jeddah West,202,71,601.96,Normal,2019,2
INV0000198,2/28/2019 0:00,PRD007,Dammam East,364,103,1084.72,Normal,2019,2
INV0000199,2/28/2019 0:00,PRD007,Qassim North,204,76,607.92,Normal,2019,2
INV0000200,2/28/2019 0:00,PRD007,Abha South,468,126,1394.64,Normal,2019,2
INV0000201,2/28/2019 0:00,PRD008,Riyadh Central,302,109,3454.88,Normal,2019,2
INV0000202,2/28/2019 0:00,PRD008,Jeddah West,248,88,2837.12,Normal,2019,2
INV0000203,2/28/2019 0:00,PRD008,Dammam East,66,21,755.04,Normal,2019,2
INV0000204,2/28/2019 0:00,PRD008,Qassim North,506,146,5788.64,Normal,2019,2
INV0000205,2/28/2019 0:00,PRD008,Abha South,499,136,5708.56,Normal,2019,2
INV0000206,2/28/2019 0:00,PRD009,Riyadh Central,263,73,1083.56,Normal,2019,2
INV0000207,2/28/2019 0:00,PRD009,Jeddah West,437,125,1800.44,Normal,2019,2
INV0000208,2/28/2019 0:00,PRD009,Dammam East,219,72,902.28,Normal,2019,2
INV0000209,2/28/2019 0:00,PRD009,Qassim North,61,18,251.32,Normal,2019,2
INV0000210,2/28/2019 0:00,PRD009,Abha South,310,109,1277.2,Normal,2019,2
INV0000211,2/28/2019 0:00,PRD010,Riyadh Central,57,19,344.28,Normal,2019,2
INV0000212,2/28/2019 0:00,PRD010,Jeddah West,323,90,1950.92,Normal,2019,2
INV0000213,2/28/2019 0:00,PRD010,Dammam East,225,62,1359,Normal,2019,2
INV0000214,2/28/2019 0:00,PRD010,Qassim North,436,131,2633.44,Normal,2019,2
INV0000215,2/28/2019 0:00,PRD010,Abha South,527,142,3183.08,Normal,2019,2
INV0000216,2/28/2019 0:00,PRD011,Riyadh Central,391,133,2373.37,Normal,2019,2
INV0000217,2/28/2019 0:00,PRD011,Jeddah West,196,55,1189.72,Normal,2019,2
INV0000218,2/28/2019 0:00,PRD011,Dammam East,192,50,1165.44,Normal,2019,2
INV0000219,2/28/2019 0:00,PRD011,Qassim North,200,50,1214,Normal,2019,2
INV0000220,2/28/2019 0:00,PRD011,Abha South,200,53,1214,Normal,2019,2
INV0000221,2/28/2019 0:00,PRD012,Riyadh Central,82,22,1203.76,Normal,2019,2
INV0000222,2/28/2019 0:00,PRD012,Jeddah West,314,96,4609.52,Normal,2019,2
INV0000223,2/28/2019 0:00,PRD012,Dammam East,97,32,1423.96,Normal,2019,2
INV0000224,2/28/2019 0:00,PRD012,Qassim North,149,48,2187.32,Normal,2019,2
INV0000225,2/28/2019 0:00,PRD012,Abha South,432,136,6341.76,Normal,2019,2
INV0000226,2/28/2019 0:00,PRD013,Riyadh Central,288,80,4875.84,Normal,2019,2
INV0000227,2/28/2019 0:00,PRD013,Jeddah West,206,58,3487.58,Normal,2019,2
INV0000228,2/28/2019 0:00,PRD013,Dammam East,261,76,4418.73,Normal,2019,2
INV0000229,2/28/2019 0:00,PRD013,Qassim North,360,118,6094.8,Normal,2019,2
INV0000230,2/28/2019 0:00,PRD013,Abha South,306,93,5180.58,Normal,2019,2
INV0000231,2/28/2019 0:00,PRD014,Riyadh Central,319,93,1630.09,Normal,2019,2
INV0000232,2/28/2019 0:00,PRD014,Jeddah West,182,68,930.02,Normal,2019,2
INV0000233,2/28/2019 0:00,PRD014,Dammam East,67,21,342.37,Normal,2019,2
INV0000234,2/28/2019 0:00,PRD014,Qassim North,104,31,531.44,Normal,2019,2
INV0000235,2/28/2019 0:00,PRD014,Abha South,323,112,1650.53,Normal,2019,2
INV0000236,2/28/2019 0:00,PRD015,Riyadh Central,288,89,5333.76,Normal,2019,2
INV0000237,2/28/2019 0:00,PRD015,Jeddah West,341,111,6315.32,Normal,2019,2
INV0000238,2/28/2019 0:00,PRD015,Dammam East,368,124,6815.36,Normal,2019,2
INV0000239,2/28/2019 0:00,PRD015,Qassim North,232,64,4296.64,Normal,2019,2
INV0000240,2/28/2019 0:00,PRD015,Abha South,380,121,7037.6,Normal,2019,2
INV0000241,2/28/2019 0:00,PRD016,Riyadh Central,391,134,1693.03,Normal,2019,2
INV0000242,2/28/2019 0:00,PRD016,Jeddah West,192,65,831.36,Normal,2019,2
INV0000243,2/28/2019 0:00,PRD016,Dammam East,231,81,1000.23,Normal,2019,2
INV0000244,2/28/2019 0:00,PRD016,Qassim North,472,123,2043.76,Normal,2019,2
INV0000245,2/28/2019 0:00,PRD016,Abha South,200,66,866,Normal,2019,2
INV0000246,2/28/2019 0:00,PRD017,Riyadh Central,232,60,3196.96,Normal,2019,2
INV0000247,2/28/2019 0:00,PRD017,Jeddah West,75,21,1033.5,Normal,2019,2
INV0000248,2/28/2019 0:00,PRD017,Dammam East,122,35,1681.16,Normal,2019,2
INV0000249,2/28/2019 0:00,PRD017,Qassim North,306,95,4216.68,Normal,2019,2
INV0000250,2/28/2019 0:00,PRD017,Abha South,345,114,4754.1,Normal,2019,2
INV0000251,2/28/2019 0:00,PRD018,Riyadh Central,511,140,8523.48,Normal,2019,2
INV0000252,2/28/2019 0:00,PRD018,Jeddah West,274,76,4570.32,Normal,2019,2
INV0000253,2/28/2019 0:00,PRD018,Dammam East,143,47,2385.24,Normal,2019,2
INV0000254,2/28/2019 0:00,PRD018,Qassim North,321,100,5354.28,Normal,2019,2
INV0000255,2/28/2019 0:00,PRD018,Abha South,333,123,5554.44,Normal,2019,2
INV0000256,2/28/2019 0:00,PRD019,Riyadh Central,282,75,2329.32,Normal,2019,2
INV0000257,2/28/2019 0:00,PRD019,Jeddah West,143,48,1181.18,Normal,2019,2
INV0000258,2/28/2019 0:00,PRD019,Dammam East,64,21,528.64,Normal,2019,2
INV0000259,2/28/2019 0:00,PRD019,Qassim North,208,61,1718.08,Normal,2019,2
INV0000260,2/28/2019 0:00,PRD019,Abha South,419,112,3460.94,Normal,2019,2
INV0000261,2/28/2019 0:00,PRD020,Riyadh Central,199,62,857.69,Normal,2019,2
INV0000262,2/28/2019 0:00,PRD020,Jeddah West,303,94,1305.93,Normal,2019,2
INV0000263,2/28/2019 0:00,PRD020,Dammam East,198,64,853.38,Normal,2019,2
INV0000264,2/28/2019 0:00,PRD020,Qassim North,218,68,939.58,Normal,2019,2
INV0000265,2/28/2019 0:00,PRD020,Abha South,267,91,1150.77,Normal,2019,2
INV0000266,2/28/2019 0:00,PRD021,Riyadh Central,175,45,665,Normal,2019,2
INV0000267,2/28/2019 0:00,PRD021,Jeddah West,49,18,186.2,Normal,2019,2
INV0000268,2/28/2019 0:00,PRD021,Dammam East,307,82,1166.6,Normal,2019,2
INV0000269,2/28/2019 0:00,PRD021,Qassim North,164,42,623.2,Normal,2019,2
INV0000270,2/28/2019 0:00,PRD021,Abha South,181,48,687.8,Normal,2019,2
INV0000271,2/28/2019 0:00,PRD022,Riyadh Central,398,99,3076.54,Normal,2019,2
INV0000272,2/28/2019 0:00,PRD022,Jeddah West,414,123,3200.22,Normal,2019,2
INV0000273,2/28/2019 0:00,PRD022,Dammam East,102,36,788.46,Normal,2019,2
INV0000274,2/28/2019 0:00,PRD022,Qassim North,131,40,1012.63,Normal,2019,2
INV0000275,2/28/2019 0:00,PRD022,Abha South,443,126,3424.39,Normal,2019,2
INV0000276,2/28/2019 0:00,PRD023,Riyadh Central,132,48,1284.36,Normal,2019,2
INV0000277,2/28/2019 0:00,PRD023,Jeddah West,407,103,3960.11,Normal,2019,2
INV0000278,2/28/2019 0:00,PRD023,Dammam East,50,17,486.5,Normal,2019,2
INV0000279,2/28/2019 0:00,PRD023,Qassim North,313,92,3045.49,Normal,2019,2
INV0000280,2/28/2019 0:00,PRD023,Abha South,82,25,797.86,Normal,2019,2
INV0000281,2/28/2019 0:00,PRD024,Riyadh Central,76,23,761.52,Normal,2019,2
INV0000282,2/28/2019 0:00,PRD024,Jeddah West,173,49,1733.46,Normal,2019,2
INV0000283,2/28/2019 0:00,PRD024,Dammam East,256,78,2565.12,Normal,2019,2
INV0000284,2/28/2019 0:00,PRD024,Qassim North,215,54,2154.3,Normal,2019,2
INV0000285,2/28/2019 0:00,PRD024,Abha South,447,135,4478.94,Normal,2019,2
INV0000286,2/28/2019 0:00,PRD025,Riyadh Central,239,78,2433.02,Normal,2019,2
INV0000287,2/28/2019 0:00,PRD025,Jeddah West,252,93,2565.36,Normal,2019,2
INV0000288,2/28/2019 0:00,PRD025,Dammam East,451,117,4591.18,Normal,2019,2
INV0000289,2/28/2019 0:00,PRD025,Qassim North,132,36,1343.76,Normal,2019,2
INV0000290,2/28/2019 0:00,PRD025,Abha South,348,130,3542.64,Normal,2019,2
INV0000291,2/28/2019 0:00,PRD026,Riyadh Central,403,131,3743.87,Normal,2019,2
INV0000292,2/28/2019 0:00,PRD026,Jeddah West,396,139,3678.84,Normal,2019,2
INV0000293,2/28/2019 0:00,PRD026,Dammam East,320,105,2972.8,Normal,2019,2
INV0000294,2/28/2019 0:00,PRD026,Qassim North,336,85,3121.44,Normal,2019,2
INV0000295,2/28/2019 0:00,PRD026,Abha South,197,51,1830.13,Normal,2019,2
INV0000296,2/28/2019 0:00,PRD027,Riyadh Central,293,83,5142.15,Normal,2019,2
INV0000297,2/28/2019 0:00,PRD027,Jeddah West,240,63,4212,Normal,2019,2
INV0000298,2/28/2019 0:00,PRD027,Dammam East,442,131,7757.1,Normal,2019,2
INV0000299,2/28/2019 0:00,PRD027,Qassim North,425,114,7458.75,Normal,2019,2
INV0000300,2/28/2019 0:00,PRD027,Abha South,441,111,7739.55,Normal,2019,2
INV0000301,2/28/2019 0:00,PRD028,Riyadh Central,341,90,4910.4,Normal,2019,2
